 # CATAID  RA   DEC Z_TONRY nQ  M_r  DistanceToEdge Completeness DistanceTo5nn SurfaceDensity SurfaceDensityErr SurfaceDensityFlag CountInCyl CountInCylErr CountInCylFlag AGEDenPar  AGEErr AGEScale AGEDenParFlag
   5102466  339.447353300000 -32.12542520000000223 0.17943     4  -21.339    4.86975  1.0000    3.771        0.112    0.0075     0     1.000     1.0     0    0.852    3.464    1.800     0
   5157366  345.525686200000 -32.12490580000000051 0.18000     4  -21.493   27.39556  1.0000    1.220        1.069    0.1010     0     3.000     1.7     0    0.312    3.000    1.200     0
   5153797  345.348491500000 -32.86778180000000305 0.17855     4  -19.090   27.27868  1.0000    1.709        0.545    0.0523     0     2.000     1.4     0    0.029    1.732    1.000     0
   5114572  340.457525200000 -32.67301170000000354 0.17834     4  -21.451   15.67839  1.0000    4.487        0.079    0.0025     0     0.000     0.0     0    0.049    2.000    1.000     0
   5157966  346.031459500000 -32.00376130000000074 0.17818     4  -21.791   25.58389  1.0000    4.482        0.079    0.0080     0     0.000     0.0     0    0.261    3.000    1.200     0
   5100198  340.219995800000 -32.62551870000000065 0.17811     4  -20.298   13.11411  1.0000    2.676        0.222    0.0186     0     0.000     0.0     0    0.252    2.646    1.000     0
   5102095  339.932714100000 -32.21250859999999960 0.17798     4  -20.040   10.06524  1.0000    0.814        2.401    1.8403     0     5.000     2.2     0    0.079    1.732    1.000     0
   5156824  345.710293900000 -32.23246770000000083 0.17792     4  -20.021   28.46488  1.0000    1.797        0.493    0.0255     0     0.000     0.0     0    1.084    5.000    1.200     0
   5129744  342.976545400000 -31.50779190000000085 0.17791     4  -20.704   19.22415  1.0000    3.917        0.104    0.0090     0     0.000     0.0     0    0.227    4.243    1.000     0
   5156605  345.776628500000 -32.27483039999999903 0.17776     4  -20.042   28.98020  1.0000    2.512        0.252    0.0161     0     2.000     1.4     0    0.903    4.899    1.200     0
   5156392  345.477881100000 -32.31751129999999961 0.17771     4  -19.864   29.51616  1.0000    1.409        0.801    0.0632     0     1.000     1.0     0    1.231    5.099    1.400     0
   5137283  343.157133900000 -33.14507679999999823 0.17765     4  -19.917   23.61652  1.0000    6.096        0.043    0.0022     0     0.000     0.0     0 -999.900 -999.900    1.000     2
   5155975  345.554725500000 -32.41026020000000329 0.17753     4  -20.620   30.66796  1.0000    2.420        0.272    0.0251     0     0.000     0.0     0    0.763    4.690    1.200     0
   5149173  344.489249700000 -31.85668420000000012 0.17745     3  -19.396   23.61315  1.0000    2.423        0.271    0.0147     0     2.000     1.4     0    0.248    2.236    1.000     0
   5115612  340.688167300000 -32.46986400000000117 0.17736     4  -20.389   18.10560  1.0000    3.574        0.125    0.0361     0     2.000     1.4     0    0.158    1.414    1.200     0
   5118581  341.287685900000 -31.87320869999999928 0.17724     4  -22.222   23.79719  1.0000    0.760        2.758    0.2567     0     5.000     2.2     0    0.247    2.449    1.200     0
   5144764  343.469934600000 -31.72694309999999973 0.17666     4  -20.717   21.86963  1.0000    4.755        0.070    0.0045     0     0.000     0.0     0    0.155    2.236    1.000     0
   5149446  344.960571600000 -31.79578060000000050 0.17622     4  -20.597   22.68713  1.0000    4.599        0.075    0.0045     0     0.000     0.0     0    0.455    3.606    1.400     0
   5125624  342.771349900000 -33.32416349999999738 0.17616     4  -20.191   21.16584  1.0000    7.672        0.027    0.0009     0     0.000     0.0     0    0.190    1.732    1.200     0
   5144883  343.300800500000 -31.70381109999999936 0.17618     4  -20.639   21.52066  1.0000    4.712        0.072    0.0036     0     0.000     0.0     0    0.199    2.236    1.200     0
   5157518  345.448970700000 -32.09197379999999811 0.17612     4  -21.925   26.41538  1.0000    0.857        2.168    0.0907     0     6.000     2.4     0    1.142    5.292    1.400     0
   5100523  339.650794700000 -32.54799450000000149 0.17606     4  -20.475    6.92465  1.0000    2.531        0.248    0.0400     0     1.000     1.0     0    1.157    6.000    1.600     0
   5148911  344.711725500000 -31.91374860000000169 0.17558     4  -19.933   24.09384  1.0000    2.725        0.214    0.0147     0     0.000     0.0     0    0.135    3.000    1.000     0
   5116004  341.606979500000 -32.39144280000000009 0.17546     4  -21.472   27.69713  1.0000    0.661        3.647    0.1551     0     7.000     2.6     0    1.512    5.099    2.000     0
   5114247  340.595504200000 -32.74795720000000188 0.17543     4  -20.256   16.88084  1.0000    4.692        0.072    0.0013     0     1.000     1.0     0    0.365    2.449    1.200     0
