field,cataid,ra,dec,z1,t1,r_x1,z2,t2,r_x2,spec_type,vis_type
G09,218757,140.75621,0.84809,0.238,47,9.9,0.25,44,9.1,ELG+ELG,Ef
G09,345974,131.75004,2.04437,0.207,46,11.2,0.231,45,8.5,ELG+ELG,Ef
G09,347499,137.94367,2.30107,0.316,45,8.9,0.381,47,5.9,ELG+ELG,SS
G09,348065,140.09571,2.3343,0.281,45,9.9,0.086,45,9.4,ELG+ELG,SS/M
G09,375506,129.51933,1.39028,0.24,46,13.5,0.419,46,7.5,ELG+ELG,SE/F
G09,376767,134.88888,1.50709,0.727,47,7.4,0.176,46,6.7,ELG+ELG,SS
G09,383053,139.68454,1.98081,0.189,45,9,0.671,47,7.6,ELG+ELG,S
G09,573744,129.951,-0.03694,0.144,45,11.5,0.13,45,9.2,ELG+ELG,SE/B
G09,574857,137.52142,-0.12759,0.105,45,12.1,0.3,44,9.4,ELG+ELG,M/SS
G09,599995,133.35229,0.32283,0.289,43,9.1,0.292,43,5.6,ELG+ELG,E
G09,641911,140.01479,-1.21574,0.096,46,9.9,0.22,45,9.1,ELG+ELG,SE
G09,3633744,138.918,-1.02683,0.343,45,7.4,0.44,46,5.1,ELG+ELG,ES
G09,3866435,136.82975,-1.99357,0.325,47,9.3,0.166,44,8.5,ELG+ELG,S
G09,3887215,136.64988,-1.59199,0.328,46,7,0.331,47,6.3,ELG+ELG,SS
G09,3904099,134.01279,-0.98051,0.217,46,11.5,0.242,47,6.5,ELG+ELG,SE
G12,32248,183.92221,-1.20294,0.085,47,14.9,0.328,45,7.5,ELG+ELG,SE
G12,40642,182.30704,-0.78791,0.278,47,12.2,0.184,45,8.6,ELG+ELG,M
G12,53931,175.69525,-0.31443,0.121,47,13.1,0.147,45,12.2,ELG+ELG,SS/F
G12,54130,176.85742,-0.30877,0.326,45,11.6,0.317,47,8.6,ELG+ELG,SE/F
G12,54523,178.36975,-0.30537,0.26,47,10.9,0.077,46,10,ELG+ELG,M
G12,55175,180.74654,-0.38792,0.357,47,7,0.409,47,6.7,ELG+ELG,SE
G12,124295,178.90833,-2.56675,0.28,47,11.2,0.179,44,10.2,ELG+ELG,M
G12,130523,177.73192,-2.10683,0.163,47,10.9,0.249,44,9.6,ELG+ELG,SE
G12,136907,176.30279,-1.74244,0.028,47,11.3,0.256,45,7.6,ELG+ELG,SE
G12,137783,179.51112,-1.69882,0.097,47,10.9,0.268,45,8.8,ELG+ELG,M/SS
G12,138368,181.94588,-1.82568,0.304,45,8.3,0.274,47,6.3,ELG+ELG,E
G12,138811,184.17454,-1.81681,0.45,47,8.6,0.074,45,5.9,ELG+ELG,S
G12,164995,179.40017,-2.87571,0.267,45,9.5,0.27,46,8,ELG+ELG,Q
G12,177278,176.08696,-1.86907,0.316,43,5.8,0.385,45,5.1,ELG+ELG,M
G12,185812,181.78058,-1.5484,0.313,47,10.1,0.181,46,9.4,ELG+ELG,ES
G12,186737,185.5935,-1.49532,0.301,43,8.1,0.297,45,5.9,ELG+ELG,M
G12,230803,181.08337,1.93953,0.166,44,10.2,0.243,45,9.2,ELG+ELG,ES
G12,231768,185.44796,1.94621,0.226,44,11.3,0.252,47,8.7,ELG+ELG,ES
G12,231785,185.53046,1.88483,0.112,44,9.1,0.346,47,6.4,ELG+ELG,M
G12,272227,178.47396,1.3207,0.078,47,10.2,0.23,44,10.1,ELG+ELG,SE
G12,289050,180.98801,1.78262,0.262,43,12.5,0.259,45,6.6,ELG+ELG,M
G12,396570,174.04408,1.44452,0.454,47,8.1,0.077,44,6.7,ELG+ELG,S/M
