      ra,            dec
138.2815,-0.6667
129.6955,-0.3818
136.6388,-0.3520
132.3677,0.1636
132.6101,0.1197
134.0298,0.1524
140.1419,0.9734
135.3293,1.2298
138.9406,1.3314
130.7372,1.5596
131.0233,1.6481
138.2570,1.7214
138.6248,1.8714
130.5093,1.0207
136.8063,1.6439
137.9064,1.6292
130.2763,1.7291
138.7635,2.0416
140.6575,2.1374
138.9989,2.5143
132.5189,2.2944
140.9867,2.8608
132.8106,2.8378
129.4136,-0.0104
135.6679,-0.1374
140.7766,-0.1146
140.4268,-1.0920
139.6344,-0.6073
129.9589,-1.6332
134.2337,-0.8041
138.1071,-0.9585
135.1084,-1.6019
137.3782,-1.1800
176.2923,0.7392
176.9636,1.2031
178.0524,1.0525
182.9002,0.1796
177.7832,0.9195
179.0670,0.9920
183.1344,1.0024
176.7894,-2.1851
182.3678,-2.2405
176.0529,-1.7746
178.1402,-2.7149
180.9697,-1.4628
182.7435,1.5979
183.5308,1.5531
182.1669,1.9984
183.1517,1.9702
185.3330,1.9226
185.6538,1.3372
181.6430,1.7412
174.2302,1.8973
180.4113,-0.4825
181.9881,-0.5279
175.0186,-0.1499
184.6289,-0.1826
185.7243,-0.2091
178.2570,0.3002
179.3960,-1.1398
181.5296,1.9350
213.6345,0.7500
214.6188,0.6294
215.9748,0.6759
218.9054,-0.7439
222.4988,-0.4071
215.2081,0.1771
217.3270,0.8671
215.0608,1.6042
217.4560,1.5260
214.1705,2.0739
214.8240,2.1252
218.2270,1.9778
222.1406,1.1650
214.1423,1.8635
214.3854,1.9114
218.1348,1.6892
218.6342,1.7857
215.0690,2.2242
212.4806,-1.6175
213.4105,-1.6474
217.1190,-1.7949
215.9512,-1.6813
211.9512,0.2306
213.4935,0.3521
33.8951,-6.5514
32.6593,-10.0763
32.2928,-5.4301
30.6934,-4.0122
35.6249,-3.8769
36.3708,-5.9177
37.9288,-4.8868
30.8281,-7.6358
344.0924,-34.8805
350.0196,-32.3594
347.4441,-31.0444
340.9053,-30.2678
345.6853,-33.3673
342.7772,-33.0433
346.4772,-32.8110
342.5759,-31.9096
342.1224,-31.7162
340.2100,-30.8253
343.9780,-30.7589
