\ EQUINOX = 'J2000.0'
|   ra     |   dec    |  major |
|   double |   double | double |
  33.89513   -6.55139     5.0
  129.01621   0.69336     5.0
  133.78179  -0.7479      5.0
  138.2815   -0.66673     5.0
  129.69546  -0.38179     5.0
  136.63883  -0.35203     5.0
  132.36771   0.1636      5.0
  132.50596   0.0425      5.0
  132.61013   0.11972     5.0
  134.02979   0.15244     5.0
  140.75621   0.84809     5.0
  136.79904   0.98044     5.0
  140.14187   0.97341     5.0
  129.87425   1.12844     5.0
  131.46746   1.19884     5.0
  135.32929   1.22984     5.0
  136.46358   1.31167     5.0
  138.94058   1.33144     5.0
  130.73717   1.55957     5.0
  131.02333   1.64814     5.0
  136.07796   1.68015     5.0
  138.257     1.72137     5.0
  138.62475   1.87141     5.0
  131.75004   2.04437     5.0
  131.78108   2.12672     5.0
  137.94367   2.30107     5.0
  140.09571   2.3343      5.0
  140.94438   2.24256     5.0
  130.50925   1.02071     5.0
  133.78987   0.98418     5.0
  137.79708   1.07694     5.0
  129.51933   1.39028     5.0
  134.88888   1.50709     5.0
  135.11008   1.44247     5.0
  136.80625   1.64392     5.0
  137.90642   1.62916     5.0
  130.27629   1.72911     5.0
  135.24921   1.89325     5.0
  138.7635    2.04159     5.0
  139.68454   1.98081     5.0
  140.6575    2.13736     5.0
  132.24292   2.24817     5.0
  137.19829   2.40849     5.0
  138.99892   2.51429     5.0
  132.51888   2.29438     5.0
  134.097     2.49636     5.0
  140.98671   2.86084     5.0
  132.81062   2.83784     5.0
  129.15721   2.86991     5.0
  140.98654  -0.87061     5.0
  129.41362  -0.01039     5.0
  129.951    -0.03694     5.0
  135.66788  -0.13742     5.0
  137.52142  -0.12759     5.0
  140.77658  -0.11463     5.0
  132.08975   0.21503     5.0
  132.67583   0.34792     5.0
  132.62096   0.25907     5.0
  133.35229   0.32283     5.0
  138.08767   0.30248     5.0
  129.85479   0.68659     5.0
  132.66296   0.63611     5.0
  140.01479  -1.21574     5.0
  140.42683  -1.09201     5.0
  139.63437  -0.60728     5.0
  129.95892  -1.63319     5.0
  131.41271  -1.66217     5.0
  135.8195   -1.34174     5.0
  132.09767  -0.85274     5.0
  134.23367  -0.80412     5.0
  138.10708  -0.95852     5.0
  138.918    -1.02683     5.0
  136.82975  -1.99357     5.0
  135.10842  -1.60189     5.0
  136.26788  -1.56631     5.0
  136.64988  -1.59199     5.0
  138.55021  -1.68663     5.0
  134.01279  -0.98051     5.0
  137.37821  -1.17997     5.0
  139.74904  -1.30614     5.0
  176.29229   0.73915     5.0
  179.68421   0.82128     5.0
  185.08025   0.71944     5.0
  176.96358   1.2031      5.0
  178.05237   1.05246     5.0
  183.92221  -1.20294     5.0
  174.87917  -0.66397     5.0
