cata_id    ra            dec        z1  template1   cc_sigma  z2 template2  cc_sigma   spec_id
01217811   33.6095   -4.2331    0.1544  44   6.6    0.1813  40   7.1  G02_Y3_001_237 
02379807   37.1602   -4.0345    0.3289  46   8.6    0.3329  40  10.8  G02_Y3_016_301 
01126606   33.8951   -6.5514    0.2173  40   9.8    0.7493  43   5.1  G02_Y3_018_199 
01726233   36.6545   -8.5217    0.1552  47   5.4    0.1844  47  10.3  G02_Y4_001_011 
01740396   36.3669   -9.3523    0.1962  47  12.3    0.4450  40   6.3  G02_Y4_029_366 
01568229   30.6926   -4.1357    0.2909  40   5.9    0.4126  40   5.8  G02_Y4_033_347 
01270758   32.6593  -10.0763    0.1441  40   9.7    0.6982  43   5.6  G02_Y4_042_077 
01274050   32.8271   -9.8643    0.1612  44   6.9    0.5073  47   6.5  G02_Y4_042_079 
02248952   30.8281   -7.6358    0.2418  40   5.4    0.3284  45   5.2  G02_Y5_054_036 
01440776   31.9830   -4.4134    0.2087  45   6.3    0.6397  40   5.9  G02_Y5_072_295 
02002618   38.3059   -5.0733    0.2559  45   6.2    0.3482  42   9.7  G02_Y5_075_045 
02005629   37.9288   -4.8868    0.1889  40   6.9    0.7163  45   5.9  G02_Y5_075_208 
01763319   36.3708   -5.9177    0.2943  40   7.2    0.3186  44   6.6  G02_Y5_089_071 
01779869   36.2946   -4.8425    0.3087  44   6.2    0.4596  46   5.8  G02_Y5_095_331 
01684064   35.6249   -3.8769    0.2917  40   6.6    0.6141  47   8.4  G02_Y5_107_229 
01988308   38.1114   -5.9642    0.2995  47   8.2    0.3030  47   7.4  G02_Y5_112_088 
01537351   30.8041   -6.0456    0.4237  40   6.6    0.6220  42   6.5  G02_Y5_113_092 
02308869   35.9208   -4.0221    0.2375  47  11.2    0.2645  47  10.1  G02_Y5_115_297 
01312058   32.2928   -5.4301    0.4170  40   8.2    0.6194  47   7.1  G02_Y6_004_156 
01320592   32.9409   -4.8201    0.0701  47  11.7    0.1618  46  10.0  G02_Y6_004_333 
01765570   36.1621   -5.7661    0.1624  44   6.3    0.2313  40   7.4  G02_Y6_008_076 
00380839  130.2763    1.7291    0.3607  42   8.4    0.3871  47   7.3  G09_Y1_AN1_356 
00375506  129.5193    1.3903    0.2399  46  13.5    0.4192  46   7.5  G09_Y1_AN2_213 
00300500  129.8742    1.1284    0.1532  44   9.5    0.1578  40   7.4  G09_Y1_AN2_349 
00323247  131.0233    1.6481    0.1638  40  10.6    0.2289  46   8.5  G09_Y1_BN2_295 
00300979  131.4675    1.1988    0.1455  40   6.8    0.7164  40   5.8  G09_Y1_BN2_395 
00386427  132.2429    2.2482    0.2085  42   7.5    0.3929  40   6.6  G09_Y1_BX1_018 
00622326  132.6630    0.6361    0.2344  40   7.1    0.3779  42   7.5  G09_Y1_CN1_067 
00209295  132.6101    0.1197    0.3126  40  11.2    0.6076  47   7.8  G09_Y1_CS2_346 
00371995  133.7899    0.9842    0.1081  47   8.6    0.3862  42   7.9  G09_Y1_DN1_061 
03904099  134.0128   -0.9805    0.2175  46  11.5    0.2419  47   6.5  G09_Y1_DS2_068 
00197073  133.7818   -0.7479    0.2675  44   6.4    0.2704  40  10.8  G09_Y1_DS2_089 
00209584  134.0298    0.1524    0.1582  40   7.9    0.1670  46  12.0  G09_Y1_DS2_339 
00417922  134.0970    2.4964    0.1981  40   9.1    0.6154  42   6.5  G09_Y1_DX2_198 
00301818  135.3293    1.2298    0.2468  40  10.0    0.4869  47  10.6  G09_Y1_EN1_004 
00279369  136.7990    0.9804    0.2376  46   7.2    0.2842  40   8.5  G09_Y1_FN2_031 
00204140  136.6388   -0.3520    0.2820  40   9.4    0.4492  47   8.1  G09_Y1_FS1_021 
00198082  138.2815   -0.6667    0.1631  40  11.1    0.3212  47  10.2  G09_Y1_GS1_039 
00574857  137.5214   -0.1276    0.1054  45  12.1    0.2995  44   9.4  G09_Y1_GS1_210 
03632403  138.1071   -0.9585    0.3151  40  10.1    0.4445  47   8.5  G09_Y1_GS2_075 
00218757  140.7562    0.8481    0.2379  47   9.9    0.2497  44   9.1  G09_Y1_IN1_047 
00388201  138.9989    2.5143    0.1674  40  10.0    0.2985  44   8.2  G09_Y2_002_219 
00202448  129.6955   -0.3818    0.4178  40   9.0    0.7379  45   5.0  G09_Y2_003_174 
00348299  140.9444    2.2426    0.2789  45   6.3    0.4086  42  10.4  G09_Y2_004_043 
00348065  140.0957    2.3343    0.0864  45   9.4    0.2813  45   9.9  G09_Y2_008_141 
00419678  140.9867    2.8608    0.5692  40   8.2    0.6622  47   7.4  G09_Y2_008_375 
00196060  129.0162   -0.6934    0.0513  46   5.6    0.2933  40   8.7  G09_Y2_019_155 
00422882  132.8106    2.8378    0.2121  40   7.8    0.3079  45   9.4  G09_Y2_022_313 
00383053  139.6845    1.9808    0.1891  45   9.0    0.6712  47   7.6  G09_Y2_028_244 
00372810  137.7971    1.0769    0.2199  45   6.4    0.3006  40   8.9  G09_Y2_037_046 
00302123  136.4636    1.3117    0.4699  40   6.5    0.6454  40   6.1  G09_Y2_037_185 
00383284  140.6575    2.1374    0.1936  40   9.7    0.3422  47   5.8  G09_Y2_042_077 
00324470  136.0780    1.6802    0.1481  45  10.3    0.3212  42   8.9  G09_Y3_002_062 
00302719  138.9406    1.3314    0.4040  42   6.4    0.5933  47   6.5  G09_Y3_004_090 
00425637  129.1572    2.8699    0.2825  40   6.1    0.5107  42   8.0  G09_Y3_006_236 
00376767  134.8889    1.5071    0.1761  46   6.7    0.7268  47   7.4  G09_Y3_008_340 
03626956  134.2337   -0.8041    0.2670  42   6.5    0.7365  47   6.6  G09_Y3_013_044 
00279956  140.1419    0.9734    0.3358  40   5.9    0.5859  47   6.0  G09_Y3_014_306 
00371208  130.5093    1.0207    0.0769  40   7.7    0.6990  46   6.0  G09_Y3_015_191 
00387615  137.1983    2.4085    0.2807  40  10.5    0.5492  42   5.1  G09_Y3_016_221 
00599995  133.3523    0.3228    0.2891  43   9.1    0.2925  43   5.6  G09_Y3_022_364 
00345984  131.7811    2.1267    0.1385  45   6.1    0.2074  40   5.8  G09_Y3_024_157 
03913313  139.7490   -1.3061    0.2230  46  11.1    0.2256  40  10.3  G09_Y4_202_373 
00641911  140.0148   -1.2157    0.0960  46   9.9    0.2202  45   9.1  G09_Y4_208_344 
03579777  131.4127   -1.6622    0.2583  40   7.9    0.8693  42   5.3  G09_Y4_214_091 
03884455  135.1084   -1.6019    0.4110  42   9.2    0.4404  47   7.4  G09_Y4_216_015 
03576902  129.9589   -1.6332    0.1870  40   7.3    0.2678  45   9.7  G09_Y4_217_017 
03887215  136.6499   -1.5920    0.3277  46   7.0    0.3307  47   6.3  G09_Y4_226_013 
03890035  138.5502   -1.6866    0.2591  40   9.1    0.8676  42   6.0  G09_Y4_228_088 
03624490  132.0977   -0.8527    0.2463  46   7.4    0.3657  40   8.3  G09_Y4_246_346 
00419678  140.9867    2.8608    0.5697  40   7.4    0.6621  47   7.2  G09_Y4_251_352 
00663372  140.4268   -1.0920    0.2242  40   6.4    0.3305  45   6.6  G09_Y4_256_275 
03909630  137.3782   -1.1800    0.2271  40  10.2    0.3282  44   8.2  G09_Y4_260_267 
00599598  132.0898    0.2150    0.1180  45   6.4    0.1947  40   5.8  G09_Y5_014_181 
00905359  139.6344   -0.6073    0.5846  40   6.5    0.7571  47   6.2  G09_Y5_033_205 
00209222  132.3677    0.1636    0.1277  40  10.3    0.6033  47   6.7  G09_Y5_050_103 
00302123  136.4636    1.3117    0.4702  40   6.7    0.6458  40   6.3  G09_Y6_062_020 
00599770  132.6758    0.3479    0.1914  40   7.7    0.3331  40   7.6  G09_Y6_063_222 
00573657  129.4136   -0.0104    0.2739  40   7.2    0.6572  46   6.8  G09_Y6_068_190 
00345984  131.7811    2.1267    0.1384  46   7.6    0.2073  40   8.1  G09_Y6_080_232 
00583813  176.8324   -0.1639    0.1090  47   5.9    0.1374  45   7.3  G12_Y1_BD1_017 
00084090  175.9738    0.4861    0.2583  44   8.2    0.2838  42   7.2  G12_Y1_BD1_276 
00053931  175.6952   -0.3144    0.1215  47  13.4    0.1472  47  12.0  G12_Y1_BN1_134 
00559147  175.8861   -0.4400    0.3508  40   9.9    0.8028  42   5.4  G12_Y1_BND1_142
00136800  176.0529   -1.7746    0.2642  40  11.7    0.5890  47   7.8  G12_Y1_BS2_132 
00184530  176.7095   -1.4385    0.1564  45   9.7    0.3907  40  10.3  G12_Y1_BS2_395 
00022278  176.9636    1.2031    0.0936  40   8.5    0.7122  47   6.0  G12_Y1_BX2_054 
00397097  176.7200    1.4861    0.1522  44   6.5    0.1557  40   8.5  G12_Y1_BX2_381 
00559653  177.7595   -0.4763    0.1241  44  10.1    0.2588  44   9.4  G12_Y1_CN1_069 
00022559  178.0524    1.0525    0.1568  40   7.7    0.2834  45   8.8  G12_Y1_CX2_137 
00039870  178.6252   -0.7242    0.2274  40   6.5    0.3122  40  10.1  G12_Y1_DS2_283 
00220204  180.6768    1.5637    0.2282  47   6.5    0.3534  42   8.0  G12_Y1_DX1_397 
00610529  180.5420    0.3913    0.2557  45  11.3    0.7006  47   7.3  G12_Y1_END1_355
00230803  181.0834    1.9395    0.1658  44  10.2    0.2425  45   9.2  G12_Y1_EX1_280 
00289265  181.6305    1.8238    0.2924  40   7.3    0.2951  40   9.1  G12_Y1_EX1_356 
00289050  180.9880    1.7826    0.2591  45   6.6    0.2617  43  12.5  G12_Y1_EX2_252 
00289278  181.6430    1.7412    0.2939  42  10.9    0.7010  45   5.0  G12_Y1_EX2_356 
00185812  181.7806   -1.5484    0.1807  46   9.4    0.3132  47  10.1  G12_Y1_FS2_016 
00185604  180.9697   -1.4628    0.2651  40  10.6    0.2726  47   9.5  G12_Y1_FS2_087 
00231043  182.1669    1.9984    0.1600  40  10.1    0.6892  47   8.9  G12_Y1_FX2_252 
00220682  182.7435    1.5979    0.2889  40   9.8    0.3614  47   9.8  G12_Y1_FX2_344 
00040642  182.3070   -0.7879    0.1837  45   8.6    0.2776  47  12.2  G12_Y1_GS1_256 
00586392  184.6289   -0.1826    0.3071  40   6.5    0.4564  45   7.8  G12_Y1_HND1_036
00585644  183.8302   -0.1963    0.2556  46   7.8    0.4044  40   9.4  G12_Y1_HND1_134
00071566  185.1664    0.2078    0.2586  47   6.5    0.2874  40  11.5  G12_Y1_IND1_199
00009156  185.0803    0.7194    0.1150  46   8.9    0.2700  40  10.1  G12_Y1_IND1_273
00583469  175.0186   -0.1499    0.3144  40  11.2    0.7466  47   7.4  G12_Y1_ND1_174 
00098399  177.7832    0.9195    0.4001  40   8.9    0.5692  47   7.3  G12_Y1_ND2_327 
00098624  179.0670    0.9920    0.2587  40  11.7    0.2701  47   5.5  G12_Y1_ND3_310 
00585446  182.7408   -0.1354    0.3314  40   6.3    0.3452  42   7.5  G12_Y1_ND5_071 
00586648  185.7243   -0.2091    0.2875  40   9.7    0.6968  47  10.3  G12_Y1_ND7_018 
00560475  180.4113   -0.4825    0.1652  40   9.9    0.5433  47   6.5  G12_Y1_ND8_063 
00231746  185.3330    1.9226    0.4231  40   9.5    0.4604  47   6.9  G12_Y2_002_280 
00231307  183.1517    1.9702    0.1896  40  12.2    0.2177  47   6.7  G12_Y2_003_236 
00537363  184.9528   -0.8721    0.0398  46   7.5    0.2057  40   7.2  G12_Y2_005_274 
00220854  183.5308    1.5531    0.2662  40   9.6    0.3275  46   9.2  G12_Y2_008_208 
00231768  185.4480    1.9462    0.2261  44  11.3    0.2516  47   8.7  G12_Y2_009_280 
00136782  176.1114   -1.7726    0.2459  46   6.8    0.3943  40   7.0  G12_Y2_011_074 
00138368  181.9459   -1.8257    0.2744  47   6.3    0.3039  45   8.3  G12_Y2_012_022 
00007242  176.2923    0.7391    0.5292  42   6.0    0.6420  47   5.2  G12_Y2_015_127 
00185998  182.6006   -1.6102    0.2875  45   7.4    0.4138  40   9.0  G12_Y2_017_048 
00097836  174.8486    0.9023    0.1104  47   8.7    0.2411  40  10.9  G12_Y2_023_105 
00186737  185.5935   -1.4953    0.2972  45   5.9    0.3014  43   8.1  G12_Y2_038_162 
00272828  180.9781    1.4233    0.2381  47   6.9    0.4019  40   9.9  G12_Y3_003_206 
00690020  179.3960   -1.1398    0.2628  40   8.8    0.3479  47   6.4  G12_Y3_006_143 
00099508  183.1344    1.0024    0.2143  40   9.5    0.7444  43   5.0  G12_Y3_011_353 
00186085  182.8955   -1.6491    0.2412  45   7.6    0.3803  40   7.0  G12_Y3_014_102 
00136800  176.0529   -1.7746    0.2642  40   9.2    0.5890  47   7.1  G12_Y3_020_097 
00007242  176.2923    0.7391    0.5291  40   8.3    0.6420  47   8.2  G12_Y3_021_292 
00947988  177.9011   -1.1187    0.1364  45   6.3    0.2953  44   7.4  G12_Y3_027_325 
00560853  181.9881   -0.5279    0.2237  40   7.1    0.6817  47   5.4  G12_Y3_028_360 
00814991  181.5296    1.9350    0.2228  40   8.3    0.2975  44   5.3  G12_Y3_032_344 
00131725  182.3678   -2.2405    0.1791  40   8.2    0.6299  46   9.7  G12_Y4_206_372 
00130523  177.7319   -2.1068    0.1630  47  10.9    0.2494  44   9.6  G12_Y4_208_364 
00164995  179.4002   -2.8757    0.2670  45   9.5    0.2701  46   8.0  G12_Y5_002_041 
00124295  178.9083   -2.5667    0.1785  45   9.7    0.2798  47  10.6  G12_Y5_002_130 
00130303  176.7894   -2.1851    0.3978  40   7.5    0.4349  47   7.7  G12_Y5_011_246 
00172153  181.4468   -2.4418    0.5144  43   6.2    0.5675  42   5.5  G12_Y5_020_213 
00124295  178.9083   -2.5667    0.1786  44  10.2    0.2799  47  11.2  G12_Y6_042_096 
00186085  182.8955   -1.6491    0.2413  44   6.2    0.3802  40   6.7  G12_Y6_052_267 
00746445  179.0830   -0.2049    0.1071  40   9.7    0.6447  42   5.5  G12_Y6_054_212 
00053931  175.6952   -0.3144    0.1214  47  13.1    0.1472  45  12.2  G12_Y6_056_185 
00130303  176.7894   -2.1851    0.3976  40   7.9    0.4348  47   6.4  G12_Y6_073_063 
00592207  212.0194   -0.0788    0.1778  40   7.3    0.2558  40   8.3  G15_Y1_AS1_248 
00014983  213.6345    0.7500    0.2729  40   9.8    0.5278  47   9.4  G15_Y1_BN1_086 
00296898  213.9269    1.5389    0.0455  47   8.5    0.1602  40  11.0  G15_Y1_BN2_376 
00238715  215.0608    1.6042    0.1898  40  11.0    0.2435  45   9.3  G15_Y1_CN1_326 
00015221  214.6188    0.6294    0.2316  40  10.9    0.2794  47   7.7  G15_Y1_CS1_284 
00508211  216.2738   -1.5983    0.2777  47   6.7    0.2889  40   8.4  G15_Y1_CX1_015 
00092523  216.6288    0.6252    0.0996  47   7.5    0.1253  46   7.9  G15_Y1_DN1_062 
00015554  215.9748    0.6759    0.1421  40   7.7    0.2271  46   6.4  G15_Y1_DN1_123 
00239367  217.4560    1.5260    0.2841  40  10.2    0.3793  45   8.5  G15_Y1_EN1_278 
00320557  218.6342    1.7857    0.2740  40  11.1    0.2789  46   7.2  G15_Y1_FN1_293 
00320384  218.1347    1.6892    0.1093  40   8.4    0.1923  46   7.8  G15_Y1_FN2_240 
00078841  218.9094    0.1227    0.2147  47   5.1    0.2177  40  12.1  G15_Y1_FS1_310 
00298316  219.3480    1.2877    0.3293  40   6.8    0.3325  40   7.4  G15_Y1_GN2_209 
00065016  221.1725   -0.2900    0.2390  46  12.9    0.2863  46  11.0  G15_Y1_HS1_202 
00065298  222.4988   -0.4071    0.2529  40   8.7    0.6485  47   8.3  G15_Y1_IS1_185 
00570323  223.2266   -0.5866    0.2803  47   5.5    0.3126  45  13.3  G15_Y1_IS2_030 
00298302  219.3053    1.4162    0.1500  40   6.0    0.4028  40   6.5  G15_Y2_010_184 
00513306  223.0741   -1.0173    0.2112  46  11.3    0.3204  42   8.2  G15_Y2_011_296 
00545712  220.8162   -0.8878    0.2162  46   7.2    0.4500  42   9.4  G15_Y2_023_324 
00064181  218.4889   -0.3129    0.2145  46   7.4    0.4026  40   7.5  G15_Y3_004_040 
00493692  221.9895   -1.3671    0.1468  45   8.5    0.2612  47  13.0  G15_Y3_008_124 
00545139  218.3885   -1.0098    0.2414  46   6.5    0.3230  40   6.0  G15_Y3_009_225 
00460386  211.9413   -1.8055    0.1130  46   6.4    0.5162  43   6.5  G15_Y3_013_111 
00251526  219.0664    1.9784    0.0635  46   8.5    0.2833  45   7.5  G15_Y3_015_286 
00062459  213.0678   -0.2577    0.1867  44   7.7    0.4239  40   6.5  G15_Y3_016_175 
00617856  213.4935    0.3521    0.2315  40  11.7    0.2616  47   6.7  G15_Y3_016_322 
00106821  217.3270    0.8671    0.1597  40   9.8    0.4519  47   6.2  G15_Y3_036_140 
00320078  216.8465    1.8829    0.2919  42   7.5    0.3480  42   7.5  G15_Y3_036_238 
00014983  213.6345    0.7500    0.2728  40  10.4    0.5278  47   9.5  G15_Y3_037_054 
00278240  215.8088    1.0788    0.2817  47   5.4    0.3932  44   7.9  G15_Y3_038_028 
