CATAID,ra,dec,z1,z2,logMstarWISE,logMstarGAMA,R_ein
319416,214.385,1.9114,0.051,0.245,9.709172524,9.041338921,0.397085212
371208,130.509,1.02071,0.077,0.699,10.35871677,9.712551117,0.717313699
164640,178.14,-2.71487,0.078,0.153,10.49654113,10.61740685,0.62540253
5278488,345.708,-31.6132,0.1017,0.2789,10.74643759,10.8027,0.827500246
417645,132.519,2.29438,0.108,0.457,10.05663095,10.07799244,0.396035895
320384,218.135,1.68924,0.109,0.192,10.13781705,9.937320709,0.327809349
460463,212.481,-1.61746,0.115,0.411,10.18338006,10.32781887,0.431360239
209222,132.368,0.1636,0.128,0.603,10.87140627,10.36815453,0.938876355
402278,174.23,1.89732,0.138,0.204,10.10728425,,0.242815236
15554,215.975,0.67592,0.142,0.227,10.16020927,10.38399601,0.273396834
1270758,32.659,-10.07633,0.144,0.698,10.76540459,,0.783261949
5026858,340.905,-30.26776,0.151,0.282,10.59692575,,0.486942501
106821,217.327,0.86711,0.16,0.452,10.37434893,10.09922123,0.429021408
231043,182.167,1.9984,0.16,0.689,10.02330893,,0.310366389
198082,138.282,-0.66673,0.163,0.321,10.71393858,10.60928631,0.550712902
323247,131.023,1.64814,0.164,0.229,10.72645389,10.70184612,0.424466933
560475,180.411,-0.48254,0.165,0.543,10.68145592,,0.622627511
209584,134.03,0.15244,0.167,0.158,10.15892171,,0.098335574
388201,138.999,2.51429,0.167,0.299,10.77676171,10.63587093,0.554198811
377486,137.906,1.62916,0.169,0.334,10.220379,,0.306668327
5265318,344.906,-31.1903,0.1835,0.6495,11.12915933,10.3464,0.998542956
5297680,346.477,-32.811,0.1879,0.634,10.63921929,11.3367,0.555841319
2005629,37.929,-4.88681,0.189,0.716,10.70520614,,0.610231933
238715,215.061,1.60423,0.19,0.243,10.86216767,10.70684624,0.403244709
383284,140.658,2.13736,0.194,0.342,10.51612642,10.52521038,0.375670891
5327168,348.69,-31.531,0.1955,0.2438,10.66927611,10.8503,0.303307489
5000687,344.092,-34.88054,0.199,0.326,10.34320653,,0.288479022
5251563,344.092,-34.8805,0.1993,0.3265,10.3446857,10.6265,0.288746162
325108,138.625,1.87141,0.202,0.165,10.58758664,10.61450005,0.2900386
508116,215.951,-1.68131,0.202,0.305,10.60382664,10.46473789,0.360122371
5014213,350.02,-32.35935,0.202,0.785,10.85222664,,0.699881888
5363861,350.02,-32.3593,0.2022,0.7854,10.85319949,10.8276,0.700235211
5287619,346.682,-34.8419,0.2036,0.2837,10.82502467,11.0473,0.423472399
5287452,346.73,-34.8736,0.2064,0.4942,10.7602271,10.9144,0.555776787
5022159,347.444,-31.04443,0.213,0.235,10.8980602,,0.259783754
5305885,347.444,-31.0444,0.213,0.235,10.8980602,10.9118,0.259783754
99508,183.134,1.00244,0.214,0.744,10.49716477,10.79527187,0.442222953
273903,185.654,1.33724,0.217,0.415,10.39360009,,0.32230139
1126606,33.895,-6.55139,0.217,0.749,10.23852009,,0.325409166
5108875,340.21,-30.8253,0.217,0.287,11.02408009,11.0102,0.478922076
5196710,340.007,-34.1301,0.218,0.3009,10.90666633,11.0564,0.44329813
5205278,340.215,-30.458,0.2185,0.2602,10.97945226,10.9299,0.367958947
5151434,345.685,-33.3673,0.2208,0.3188,10.56157446,10.678,0.312398771
7021723,345.685,-33.36733,0.221,0.319,10.56247082,,0.312474231
574390,135.668,-0.13742,0.223,0.229,10.86203362,11.10333157,0.128826744
814991,181.53,1.93496,0.223,0.297,10.40299362,,0.233365412
560853,181.988,-0.52788,0.224,0.682,11.36230745,,1.136741648
3909630,137.378,-1.17997,0.227,0.328,10.48538052,10.99396038,0.282214869
617856,213.493,0.35214,0.231,0.262,10.94540401,10.91809177,0.295413366
15221,214.619,0.62943,0.232,0.279,10.7870967,10.83171654,0.292845027
7061088,342.122,-31.71619,0.24,0.243,10.94979846,,0.094140234
5230798,342.122,-31.7162,0.2401,0.243,10.95021365,11.0953,0.092582367
2248952,30.828,-7.63584,0.242,0.328,10.76331218,,0.3469434
65298,222.499,-0.40713,0.253,0.649,10.81032386,10.92148876,0.538707862
71072,182.9,0.17959,0.255,0.122,10.67348742,9.212514877,0.628834017
98624,179.067,0.99197,0.259,0.27,10.76136543,10.98917007,0.132162874
690020,179.396,-1.13984,0.263,0.348,11.09206351,10.63981819,0.467797197
136800,176.053,-1.77459,0.264,0.589,10.96683442,10.96747303,0.601058042
185604,180.97,-1.46278,0.265,0.273,10.85227208,10.94953251,0.12297143
220854,183.531,1.55306,0.266,0.327,11.20773658,10.87944412,0.464829361
319348,214.142,1.86348,0.266,0.286,10.46001658,10.722929,0.120606635
3576902,129.959,-1.63319,0.268,0.187,11.0277065,11.20880508,0.578397195
485756,217.119,-1.79492,0.269,0.404,11.1857321,10.41783714,0.60064651
14983,213.634,0.74998,0.273,0.528,11.10918757,11.18858242,0.652422135
320557,218.634,1.78566,0.274,0.279,11.03927016,11.20079994,0.117186409
573657,129.414,-0.01039,0.274,0.657,11.15979016,,0.754571644
204140,136.639,-0.35203,0.282,0.449,10.90733366,10.9058876,0.447723629
22559,178.052,1.05246,0.283,0.157,9.868308186,,0.201965751
377212,136.806,1.64392,0.283,0.308,11.10258819,10.93493271,0.263352228
239367,217.456,1.52598,0.284,0.379,11.14839111,11.08400154,0.485030764
7081863,340.21,-30.82531,0.287,0.217,11.30361107,,0.660739615
5133005,342.054,-30.9158,0.2888,0.5565,11.43597412,11.257,0.919700581
220682,182.744,1.59787,0.289,0.361,11.27915444,11.22728252,0.498875549
289278,181.643,1.74123,0.294,0.701,10.9218791,,0.550685074
1763319,36.371,-5.91766,0.294,0.319,10.9304391,,0.207953567
250487,214.824,2.12522,0.304,0.269,11.37004781,10.98876381,0.438213155
422882,132.811,2.83784,0.308,0.212,11.82569226,,1.377543592
209295,132.61,0.11972,0.313,0.608,11.24127612,11.11471939,0.705820775
583469,175.019,-0.14991,0.314,0.747,11.23436394,11.2083168,0.759966299
3632403,138.107,-0.95852,0.315,0.444,11.31084224,11.12949753,0.594297249
77892,215.208,0.17706,0.316,0.62,11.72343108,10.7052269,1.229224954
298899,222.141,1.16504,0.319,0.374,10.75954141,10.98185444,0.223515613
575653,140.777,-0.11463,0.32,0.481,11.28561297,11.22619057,0.613333385
5137833,342.777,-33.0433,0.3207,0.3278,11.0321616,10.643,0.117411496
7028850,342.777,-33.04329,0.321,0.328,11.03311536,,0.116615954
325026,138.257,1.72137,0.329,0.336,10.80741037,,0.087676315
663372,140.427,-1.09201,0.331,0.224,11.06128601,10.92706966,0.564952741
1569977,30.693,-4.01222,0.331,0.436,11.26716601,,0.501514524
382857,138.764,2.04159,0.341,0.358,11.32079535,11.00980186,0.234287802
5247328,343.978,-30.7589,0.359,0.7222,11.16709809,11.0122,0.610222303
7083868,343.978,-30.75893,0.359,0.722,11.16709809,,0.610143711
380839,130.276,1.72911,0.361,0.387,11.52529534,11.02219963,0.34165112
610029,178.257,0.30019,0.365,0.391,11.43180248,,0.303375352
5229802,342.576,-31.9096,0.3876,0.4254,11.20594941,10.957,0.261408302
7056621,342.576,-31.90962,0.388,0.425,11.20701675,,0.258932697
342308,215.069,2.22422,0.391,0.328,11.90686941,11.72169971,0.8630811
98399,177.783,0.91949,0.4,0.569,11.23569135,,0.482326982
3884455,135.108,-1.60189,0.411,0.44,11.54997358,,0.324040107
323200,130.737,1.55957,0.416,0.35,11.2449037,11.23172569,0.385719662
1312058,32.293,-5.43011,0.417,0.619,11.62700086,,0.773774002
202448,129.695,-0.38179,0.418,0.738,11.47013245,,0.739346863
231746,185.333,1.92256,0.423,0.46,11.22518779,,0.242255066
460713,213.41,-1.64736,0.429,0.308,11.4009797,11.19672489,0.657813293
130303,176.789,-2.18512,0.435,0.398,11.52430169,,0.363636381
251342,218.227,1.97782,0.439,0.466,11.80961326,11.34547424,0.394933748
586392,184.629,-0.18264,0.456,0.307,11.69220203,,0.990369502
301818,135.329,1.22984,0.487,0.247,11.371135,11.25803757,0.940713595
617535,211.951,0.23064,0.51,0.262,11.06129684,10.98335934,0.63356895
7242,176.292,0.73915,0.529,0.642,12.09612365,,0.856720868
250209,214.17,2.07386,0.553,0.386,11.54639809,11.12819767,0.709468722
419678,140.987,2.86084,0.569,0.662,12.38969642,,1.03032048
905359,139.634,-0.60728,0.585,0.757,12.44947997,11.44282341,1.37496218
279956,140.142,0.97341,0.586,0.336,11.17673349,,0.592269029
302719,138.941,1.33144,0.593,0.404,11.82110642,11.24179268,0.973875099
1684064,35.625,-3.87688,0.614,0.292,12.28023304,,2.517541586
131725,182.368,-2.24046,0.63,0.179,11.66662791,11.34719467,1.877034995
7035191,346.477,-32.81103,0.634,0.188,11.88509285,,2.331942977
586648,185.724,-0.20906,0.697,0.287,12.14175187,,2.287280046
3626956,134.234,-0.80412,0.736,0.267,12.43250875,,3.45321012
