     cataidGAMA  gama_z   logMstarGAMA    dellogm     neff
     5100030     0.0281     8.7433     0.1205     9.10
     5100033     0.0571     8.7952     0.1514    30.19
     5100046     0.0759    10.4905     0.0622     2.98
     5100051     0.0758     9.7501     0.0254     1.53
     5100062     0.1245     9.5564     0.1627    11.54
     5100064     0.1245     9.1505     0.1066   224.92
     5100066     0.2053     9.9362     0.0886   131.40
     5100071     0.1243     9.6416     0.0737    28.08
     5100081     0.0606     9.0399     0.0000     1.00
     5100091     0.0616        nan        nan      nan
     5100103     0.2077    10.1152     0.0991    25.00
     5100114     0.2544    10.7135     0.0773    18.22
     5100129     0.0550     9.0439     0.1779     7.07
     5100136     0.1108     9.6205     0.1208    35.54
     5100137     0.2161    10.4922     0.0673    12.95
     5100143     0.4704    11.1407     0.0590     8.01
     5100171     0.2042    10.9562     0.3901     2.02
     5100174     0.1565     9.8661     0.1135    92.76
     5100176     0.2702    10.6486     0.0745    35.44
     5100185     0.2704    10.5483     0.0728     6.14
     5100186     0.2041    10.8322     0.0328     2.59
     5100189     0.2723    10.8927     0.0729     3.01
     5100198     0.1792    10.1046     0.0836    19.97
     5100218     0.2149    10.4444     0.0469     4.20
     5100225     0.2288    10.5221     0.0883     9.23
     5100231     0.9518        nan        nan      nan
     5100233     0.2067    10.6129     0.0543     5.51
     5100235     0.1646     9.5193     0.1379     6.20
     5100250     0.2155    10.0885     0.0961   104.93
     5100262     0.0565     9.2473     0.1251     5.36
     5100263     0.0576     8.7128     0.1348    82.76
     5100265     0.2071    10.4675     0.0510     7.25
     5100270     0.2067    11.0096     0.0012     1.00
     5100281     0.2070    11.2464     0.0013     1.09
     5100288     0.4226    11.1611     0.0606     9.40
     5100295     0.2163    10.5678     0.0205     1.08
     5100299     0.2168    11.3919     0.0022     1.79
     5100301     0.1247     9.4352     0.0991   240.41
     5100303     0.3496    10.4564     0.0725    11.28
     5100306     0.2168    10.4538     0.0806    37.22
     5100308     0.0573    10.8592     0.0001     1.00
     5100320     0.1183    10.6772     0.0046     1.70
     5100331     0.2081    10.2840     0.0596    20.15
     5100336     0.2165    10.4887     0.0719    20.11
     5100350     0.1729    10.2040     0.0775    22.64
     5100358     0.1777    11.0326     0.0393     2.88
     5100360     0.2058    10.5354     0.0536    13.49
     5100362     0.5615    11.5060     0.0296     1.63
     5100367     0.1786    10.2305     0.2653    17.62
     5100391     0.3582    10.5411     0.0990     6.11
     5100400     0.2732    10.9028     0.1710     2.34
     5100409     0.1039    10.2136     0.0136     1.40
     5100411     0.2595     9.9810     0.0973     1.21
     5100419     0.3052    10.6881     0.0701    37.69
     5100426     0.0578     8.7326     0.1282    76.70
     5100428     0.2910    10.8917     0.1099     5.26
     5100436     0.0806     9.1481     0.1081    57.72
     5100439     0.2719    10.5432     0.1411     5.26
     5100452     0.2077    10.3905     0.0555    11.73
     5100460     0.2160    10.8425     0.0467     3.21
     5100461     0.1031     9.7212     0.1107    27.84
     5100462     0.1778    10.3932     0.1193     6.39
     5100466     0.1773    11.1624     0.0054     2.05
     5100469     0.3684    10.6459     0.0463     2.56
     5100474     0.1578    10.1291     0.0457     3.60
     5100480     0.4606    11.5787     0.0452     2.20
     5100486     0.1252    10.2015     0.0799     2.80
     5100487     0.1194     9.6417     0.2364    15.28
     5100488     0.2159    10.0139     0.0967    72.23
     5100489     0.1803     9.8786     0.0839    81.63
     5100500     0.3346    10.7966     0.0729    52.09
     5100501     0.1753     9.9672     0.1114    26.12
     5100503     0.0573     8.7504     0.1433   101.52
     5100517     0.2068    10.2452     0.1038    79.68
     5100518     0.2736    11.1602     0.0149     2.10
     5100522     0.2585    10.8678     0.0498     5.26
     5100523     0.1772    10.1791     0.0771    28.30
     5100528     0.2695    11.4601     0.0434     3.43
     5100530     0.0568     8.6651     0.1516   116.70
     5100539     0.1778    10.2166     0.0630     8.28
     5100541     0.1779     9.8432     0.1007     6.99
     5100552     0.4673    11.4847     0.0198     1.42
     5100554     0.1261    10.2504     0.0779     2.06
     5100567     0.2980    10.7331     0.0746    56.59
     5100568     0.2978    10.8603     0.0664     5.68
     5100590     0.0275     9.9247     0.0023     1.00
     5100591     0.0566     9.6958     0.0062     1.12
     5100592     0.2703    10.5476     0.0793    33.56
     5100602     0.2722    10.4637     0.0884    27.21
     5100614     0.2734    10.5387     0.0822     7.37
     5100621     0.3342    10.6708     0.0744    42.55
     5100622     0.3542    11.1098     0.0382    11.40
     5100624     0.1244     9.6534     0.1816    11.25
     5100627     0.2168    10.3312     0.0705    48.54
     5100630     0.1179    10.5372     0.0583     2.94
     5100631     0.2165     9.5717     0.1164   105.02
     5100640     0.1246    10.2663     0.0052     1.05
     5100648     0.0569     9.2619     0.1389     9.93
     5100649     0.2984    10.7930     0.0391     3.44
     5100651     0.1789    10.1245     0.0686    21.93
