,SDSS_Name,Z_Lens,LogSMass_Salp,LogSMass_Chab
0,SDSSJ0143-1006,0.220987,11.793531,11.53298
1,SDSSJ0159-0006,0.158444,11.290904,11.032172000000001
2,SDSSJ0324+0045,0.321023,11.56879,11.30601
3,SDSSJ0324-0110,0.445575,11.977105,11.712173
4,SDSSJ0753+3416,0.13706300000000002,11.485083,11.227277
5,SDSSJ0754+1927,0.15343299999999999,11.387689,11.129072
6,SDSSJ0757+1956,0.12057000000000001,11.599642,11.342186
7,SDSSJ0826+5630,0.13181800000000002,11.641772999999999,11.384077
8,SDSSJ0847+2348,0.155085,11.449914999999999,11.191255
9,SDSSJ0851+0505,0.127584,11.312101,11.054499
10,SDSSJ0920+3028,0.288135,12.341237,12.079211
11,SDSSJ0955+3014,0.321441,12.028744,11.765964
12,SDSSJ0956+5539,0.195918,11.722538,11.462594000000001
13,SDSSJ1010+3124,0.16677,11.939569,11.680655
14,SDSSJ1031+3026,0.16709100000000002,11.483428,11.224505
15,SDSSJ1040+3626,0.122495,11.252436,10.994944
16,SDSSJ1041+0112,0.100648,11.325172,11.068615
17,SDSSJ1048+1313,0.132961,11.473578,11.215859
18,SDSSJ1051+4439,0.163372,11.417506,11.158661
19,SDSSJ1056+4141,0.13434100000000002,11.374535,11.116783
20,SDSSJ1101+1523,0.178042,11.486688000000001,11.227088
21,SDSSJ1116+0729,0.169657,11.546809,11.287837
22,SDSSJ1127+2312,0.130302,11.696348,11.438687
23,SDSSJ1137+1818,0.124069,11.572436,11.314908
24,SDSSJ1142+2509,0.164049,11.464122,11.205264999999999
25,SDSSJ1144+0436,0.10363499999999999,10.992482,10.735864
26,SDSSJ1213+2930,0.09060399999999999,11.34983,11.093486
27,SDSSJ1301+0834,0.090155,11.174571,10.918237
28,SDSSJ1330+1750,0.20739899999999997,11.995687,11.735231
29,SDSSJ1403+3309,0.062463,11.036758,10.781602000000001
30,SDSSJ1430+6104,0.16883299999999998,11.581,11.322039
31,SDSSJ1433+2835,0.091177,11.708017,11.451661999999999
32,SDSSJ1541+3642,0.140595,11.50561,11.247726
33,SDSSJ1543+2202,0.268068,12.005303,11.743642999999999
34,SDSSJ1550+2020,0.135075,11.558236,11.300478
35,SDSSJ1553+3004,0.160355,11.515747,11.256973
36,SDSSJ1607+2147,0.208904,11.812428,11.551965
37,SDSSJ1633+1441,0.128101,11.644797,11.387186
38,SDSSJ2309-0039,0.290524,11.944495,11.682437
39,SDSSJ2324+0105,0.189925,11.578381,11.318533
40,SDSSJ0139-1035,0.22214899999999999,11.896268,11.635716
41,SDSSJ0330-0051,0.34063000000000004,11.355227000000001,11.091916000000001
42,SDSSJ0739+3201,0.18595699999999998,11.614956,11.355186
43,SDSSJ0818+5410,0.116275,11.117566,10.860205
44,SDSSJ0847+2925,0.100076,11.477492999999999,11.220939999999999
45,SDSSJ0926+0722,0.075612,10.873096,10.617563
46,SDSSJ1039+1555,0.08367899999999999,11.352409,11.096692
47,SDSSJ1129+1953,0.13226400000000002,11.323786,11.066088
48,SDSSJ1230+6519,0.127371,11.316324,11.058725
49,SDSSJ1306+5545,0.06500800000000001,11.03653,10.781296000000001
50,SDSSJ1422+0203,0.11041300000000001,11.293531,11.036776
51,SDSSJ1424+0109,0.304241,12.251097999999999,11.988423
52,SDSSJ1425+0951,0.158269,11.525889999999999,11.267161999999999
53,SDSSJ1446+4943,0.173131,11.662457,11.403406
54,SDSSJ1531+0652,0.20847,11.931173,11.670709
55,SDSSJ1621+0552,0.153848,11.332692,11.074059
56,SDSSJ2211-0843,0.068379,10.962505,10.707171
