,ra,dec,z1,z2,spec_type,cataid
35,176.29229,0.73915,0.529,0.642,PG+ELG,7242
65,213.6345,0.74998,0.273,0.528,PG+ELG,14983
67,214.61879,0.62943,0.232,0.279,PG+ELG,15221
68,215.97479,0.67592,0.142,0.227,PG+ELG,15554
36,176.96358,1.2031,0.094,0.712,PG+ELG,22278
37,178.05237,1.05246,0.283,0.157,PG+ELG,22559
69,218.90542,-0.74389,0.343,0.245,PG+ELG,48883
71,222.49875,-0.40713,0.253,0.649,PG+ELG,65298
38,182.90017,0.17959,0.255,0.122,PG+ELG,71072
72,215.20808,0.17706,0.316,0.62,PG+ELG,77892
39,177.78321,0.91949,0.4,0.569,PG+ELG,98399
40,179.06704,0.99197,0.259,0.27,PG+ELG,98624
41,183.13442,1.00244,0.214,0.744,PG+ELG,99508
73,217.327,0.86711,0.16,0.452,PG+ELG,106821
43,176.78942,-2.18512,0.435,0.398,PG+ELG,130303
44,182.36783,-2.24046,0.63,0.179,PG+ELG,131725
46,176.05287,-1.77459,0.264,0.589,PG+ELG,136800
47,178.14021,-2.71487,0.078,0.153,PG+ELG,164640
48,180.96967,-1.46278,0.265,0.273,PG+ELG,185604
0,138.2815,-0.66673,0.163,0.321,PG+ELG,198082
1,129.69546,-0.38179,0.418,0.738,PG+ELG,202448
2,136.63883,-0.35203,0.282,0.449,PG+ELG,204140
3,132.36771,0.1636,0.128,0.603,PG+ELG,209222
4,132.61013,0.11972,0.313,0.608,PG+ELG,209295
5,134.02979,0.15244,0.167,0.158,PG+ELG,209584
49,182.7435,1.59787,0.289,0.361,PG+ELG,220682
50,183.53083,1.55306,0.266,0.327,PG+ELG,220854
51,182.16688,1.9984,0.16,0.689,PG+ELG,231043
52,183.15171,1.97018,0.19,0.218,PG+ELG,231307
53,185.33296,1.92256,0.423,0.46,PG+ELG,231746
74,215.06083,1.60423,0.19,0.243,PG+ELG,238715
75,217.45604,1.52598,0.284,0.379,PG+ELG,239367
76,214.17046,2.07386,0.553,0.386,PG+ELG,250209
77,214.82401,2.12522,0.304,0.269,PG+ELG,250487
78,218.22696,1.97782,0.439,0.466,PG+ELG,251342
54,185.65375,1.33724,0.217,0.415,PG+ELG,273903
6,140.14187,0.97341,0.586,0.336,PG+ELG,279956
55,181.64301,1.74123,0.294,0.701,PG+ELG,289278
79,222.14058,1.16504,0.319,0.374,PG+ELG,298899
7,135.32929,1.22984,0.487,0.247,PG+ELG,301818
8,138.94058,1.33144,0.593,0.404,PG+ELG,302719
80,214.14233,1.86348,0.266,0.286,PG+ELG,319348
81,214.38538,1.9114,0.051,0.245,PG+ELG,319416
82,218.13475,1.68924,0.109,0.192,PG+ELG,320384
83,218.63421,1.78566,0.274,0.279,PG+ELG,320557
9,130.73717,1.55957,0.416,0.35,PG+ELG,323200
10,131.02333,1.64814,0.164,0.229,PG+ELG,323247
11,138.257,1.72137,0.329,0.336,PG+ELG,325026
12,138.62475,1.87141,0.202,0.165,PG+ELG,325108
84,215.069,2.22422,0.391,0.328,PG+ELG,342308
13,130.50925,1.02071,0.077,0.699,PG+ELG,371208
