,cntr_01,dist_x,pang_x,ra_01,dec_01,major_01,designation,ra_x,dec_x,sigra,sigdec,sigradec,glon,glat,elon,elat,wx,wy,cntr,source_id,coadd_id,src,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,satnum,ra_pm,dec_pm,sigra_pm,sigdec_pm,sigradec_pm,pmra,sigpmra,pmdec,sigpmdec,w1rchi2_pm,w2rchi2_pm,w3rchi2_pm,w4rchi2_pm,rchi2_pm,pmcode,cc_flags,rel,ext_flg,var_flg,ph_qual,det_bit,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,w1cov,w2cov,w3cov,w4cov,w1cc_map,w1cc_map_str,w2cc_map,w2cc_map_str,w3cc_map,w3cc_map_str,w4cc_map,w4cc_map_str,best_use_cntr,ngrp,w1flux,w1sigflux,w1sky,w1sigsk,w1conf,w2flux,w2sigflux,w2sky,w2sigsk,w2conf,w3flux,w3sigflux,w3sky,w3sigsk,w3conf,w4flux,w4sigflux,w4sky,w4sigsk,w4conf,w1mag,w1sigm,w1flg,w1mcor,w2mag,w2sigm,w2flg,w2mcor,w3mag,w3sigm,w3flg,w3mcor,w4mag,w4sigm,w4flg,w4mcor,w1mag_1,w1sigm_1,w1flg_1,w2mag_1,w2sigm_1,w2flg_1,w3mag_1,w3sigm_1,w3flg_1,w4mag_1,w4sigm_1,w4flg_1,w1mag_2,w1sigm_2,w1flg_2,w2mag_2,w2sigm_2,w2flg_2,w3mag_2,w3sigm_2,w3flg_2,w4mag_2,w4sigm_2,w4flg_2,w1mag_3,w1sigm_3,w1flg_3,w2mag_3,w2sigm_3,w2flg_3,w3mag_3,w3sigm_3,w3flg_3,w4mag_3,w4sigm_3,w4flg_3,w1mag_4,w1sigm_4,w1flg_4,w2mag_4,w2sigm_4,w2flg_4,w3mag_4,w3sigm_4,w3flg_4,w4mag_4,w4sigm_4,w4flg_4,w1mag_5,w1sigm_5,w1flg_5,w2mag_5,w2sigm_5,w2flg_5,w3mag_5,w3sigm_5,w3flg_5,w4mag_5,w4sigm_5,w4flg_5,w1mag_6,w1sigm_6,w1flg_6,w2mag_6,w2sigm_6,w2flg_6,w3mag_6,w3sigm_6,w3flg_6,w4mag_6,w4sigm_6,w4flg_6,w1mag_7,w1sigm_7,w1flg_7,w2mag_7,w2sigm_7,w2flg_7,w3mag_7,w3sigm_7,w3flg_7,w4mag_7,w4sigm_7,w4flg_7,w1mag_8,w1sigm_8,w1flg_8,w2mag_8,w2sigm_8,w2flg_8,w3mag_8,w3sigm_8,w3flg_8,w4mag_8,w4sigm_8,w4flg_8,w1magp,w1sigp1,w1sigp2,w1k,w1ndf,w1mlq,w1mjdmin,w1mjdmax,w1mjdmean,w2magp,w2sigp1,w2sigp2,w2k,w2ndf,w2mlq,w2mjdmin,w2mjdmax,w2mjdmean,w3magp,w3sigp1,w3sigp2,w3k,w3ndf,w3mlq,w3mjdmin,w3mjdmax,w3mjdmean,w4magp,w4sigp1,w4sigp2,w4k,w4ndf,w4mlq,w4mjdmin,w4mjdmax,w4mjdmean,rho12,rho23,rho34,q12,q23,q34,xscprox,w1rsemi,w1ba,w1pa,w1gmag,w1gerr,w1gflg,w2rsemi,w2ba,w2pa,w2gmag,w2gerr,w2gflg,w3rsemi,w3ba,w3pa,w3gmag,w3gerr,w3gflg,w4rsemi,w4ba,w4pa,w4gmag,w4gerr,w4gflg,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,htm20,Unnamed: 0,ra_y,dec_y,z1,z2,spec_type,cataid
40,43,0.101508,72.455074,214.385,1.9114,5,J141732.49+015441.0,214.3854069,1.9114085,0.229,0.2464,0.0376,345.8591438,57.4222225,211.4576323,14.7809469,3108.595,3087.416,2.15E+18,2147p015_ac51-040908,2147p015_ac51,40908,16.766,0.078,13.9,0.9729,17.007,0.465,2.3,0.8222,12.819,,0.3,0.9928,9.245,,-0.3,0.976,0.9345,1,0,0,0,0,0,0,214.3854046,1.9114065,0.2615,0.2814,0.0421,-78,654,-113,710,0.9728,0.8222,0.9928,0.976,0.9345,1N000,0,,0,nnnn,ACUU,3,1233,14,43,0,36,0,26,0,26,43.204,36.754,26.996,33.524,0,,0,,0,,0,,2.15E+18,0,31.164,2.2386,16.944,3.031,0.152,9.936,4.2542,56.191,4.59,0.48,14.038,52.038,2714.151,30.481,4.693,-5.1976,15.881,866.007,11.831,1.714,16.817,0.266,1,0.261,16.2,,32,0.319,12.435,,32,0.825,8.783,,32,0.576,17.401,0.258,1,16.786,,32,13.693,,32,9.795,,32,17.078,0.266,1,16.519,,32,13.26,,32,9.359,,32,16.965,0.31,1,16.494,,32,12.927,,32,9.014,,32,16.879,0.355,1,16.343,,32,12.724,,32,8.721,,32,16.756,0.383,1,16.139,,32,12.627,,32,8.461,,32,16.601,0.392,1,15.96,,32,12.547,,32,8.225,,32,16.441,0.393,1,15.797,,32,12.385,,32,8.01,,32,16.32,0.405,1,15.643,,32,12.233,,32,7.81,,32,16.772,0.443,0.068,0.713,39,0.41,55218.10573,55582.63835,55402.50468,17.025,2.137,0.356,0.662,26,0,55218.10573,55582.63835,55403.91626,14.946,19.212,3.768,0.734,11,0.14,55218.10573,55397.89107,55327.78379,,,,0.654,10,0.01,55218.10573,55397.89107,55327.87029,11,-1,-2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.49214E+13,81,214.385,1.9114,0.051,0.245,PG+ELG,319416
48,51,0.195522,-82.062573,130.509,1.02071,5,J084202.20+010114.5,130.5091962,1.0207175,0.1501,0.1695,0.0087,225.3932438,24.9021946,132.6708927,-16.6209464,936.315,755.459,1.30E+18,1300p015_ac51-003002,1300p015_ac51,3002,15.99,0.056,19.3,1.037,16.212,0.2,5.4,0.8234,12.011,,1.4,1.006,8.792,,-1.2,0.908,0.9355,1,0,0,0,0,0,0,130.5092004,1.0207173,0.176,0.1993,0.0241,221,537,1,610,1.036,0.8238,1.005,0.908,0.9354,1N000,0,,0,0nnn,ABUU,3,0,24,24,0,24,0,11,0,11,23.473,23.486,10.927,11.366,0,,0,,0,,0,,1.30E+18,0,63.676,3.2965,13.953,2.938,0.161,20.666,3.813,35.959,3.668,0.208,101.99,73.384,2235.223,30.449,10.666,-29.112,24.117,699.642,11.4,2.91,15.888,0.12,1,0.261,16.379,0.474,1,0.319,11.945,,32,0.825,8.22,,32,0.576,16.546,0.124,0,16.967,0.438,0,13.123,,32,9.23,,32,16.149,0.12,1,16.698,0.474,1,12.77,,32,8.796,,32,15.964,0.131,1,15.866,,32,12.566,,32,8.454,,32,15.756,0.134,1,15.628,,32,12.408,,32,8.163,,32,15.435,0.121,1,15.948,0.454,1,12.284,,32,7.905,,32,15.022,0.098,1,15.393,0.321,1,12.209,,32,7.671,,32,14.576,0.076,1,14.871,0.231,1,12.054,,32,7.457,,32,14.143,0.058,1,14.412,0.174,1,11.912,,32,7.259,,32,16.003,0.315,0.064,0.77,23,4.98,55314.33832,55506.59188,55410.44593,16.096,0.939,0.192,0.798,19,0.06,55314.33832,55506.59188,55410.44593,13.005,1.726,0.52,0.604,7,0.04,55314.33832,55315.33067,55314.74133,,,,0.844,4,0,55314.33832,55315.33067,55314.74133,-12,-24,-25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.60149E+13,13,130.509,1.02071,0.077,0.699,PG+ELG,371208
15,18,0.036217,6.270309,178.14,-2.71487,5,J115233.65-024253.4,178.1402111,-2.71486,0.0666,0.0936,0.0417,275.1960696,56.9522932,179.3743902,-3.2304361,2958.018,2870.035,1.78E+18,1784m031_ac51-040059,1784m031_ac51,40059,13.872,0.043,25.3,1.705,13.726,0.053,20.5,1.055,11.348,0.235,4.6,0.9404,8.497,,-0.4,1.016,1.229,2,1,0,0,0,0,0,178.1401427,-2.7151781,0.0514,0.0578,0.016,-209,99,58,109,2.536,1.157,0.9527,1.019,1.524,1N117,0,,4,nnnn,AABU,7,1100,24,24,24,24,0,14,0,14,24.259,24.424,13.97,13.557,0,,0,,0,,0,,1.78E+18,0,448.01,17.709,16.057,2.965,0.041,203.95,9.9375,42.042,3.861,0.293,458.12,99.041,2926.401,32.285,6.148,-12.434,31.629,988.48,11.703,1.689,13.435,0.017,1,0.261,13.221,0.023,1,0.319,10.653,0.118,1,0.825,7.778,,32,0.576,14.198,0.02,1,14.096,0.028,1,12.166,0.163,1,8.838,,32,13.696,0.017,1,13.54,0.023,1,11.478,0.118,1,8.354,,32,13.464,0.018,1,13.269,0.023,1,11.061,0.104,1,8.011,,32,13.341,0.019,1,13.121,0.024,1,10.777,0.099,1,7.74,,32,13.242,0.021,1,13.005,0.026,17,10.56,0.098,1,7.522,,32,13.105,0.022,1,12.862,0.027,17,10.373,0.096,1,7.371,,32,12.906,0.021,1,12.674,0.026,17,10.191,0.095,1,7.231,,32,12.696,0.02,1,12.482,0.025,17,10.019,0.093,1,7.025,,32,13.875,0.069,0.014,0.68,23,1.51,55361.30813,55551.29546,55440.61846,13.74,0.138,0.028,0.832,23,0.83,55361.30813,55551.29546,55440.61846,11.358,0.573,0.153,0.767,13,0.16,55361.30813,55362.43278,55361.87045,,,,0.585,5,0.27,55361.30813,55362.43278,55361.87045,33,16,17,1,0,0,0.61,9.78,0.75,0,13.68,0.017,1,9.78,0.75,0,13.519,0.022,1,9.78,0.75,0,11.444,0.115,1,16.84,0.92,0,9.506,0.997,1,961421888,0.128,-68.5,1,15.543,0.1,15.063,0.132,14.441,0.126,1.04487E+13,47,178.14,-2.71487,0.078,0.153,PG+ELG,164640
117,109,0.025709,57.851761,345.708,-31.6132,5,J230249.92-313647.5,345.7080071,-31.6131962,0.0563,0.0556,-0.0073,15.6391683,-65.9819526,334.0623177,-23.4096663,2440.515,2545.494,3.46E+18,3458m319_ac51-045743,3458m319_ac51,45743,13.903,0.026,42,4.213,13.765,0.037,29.4,1.457,12.265,0.448,2.4,0.8594,8.968,,-0.7,0.9592,2.165,1,0,0,0,0,0,0,345.7080101,-31.613194,0.0574,0.0559,-0.0028,-173,118,-138,119,4.213,1.454,0.8594,0.9591,2.164,1N000,0,,1,00nn,AACU,7,0,23,23,22,22,0,12,0,12,22.926,22.467,12.273,12.44,0,,0,,0,,0,,3.46E+18,0,435.25,10.352,12.36,2.819,0.14,196.79,6.6899,34.728,3.772,0.341,196.79,81.116,2207.052,31.348,7.845,-15.026,20.502,684.306,11.248,3.243,13.619,0.013,0,0.261,13.524,0.034,0,0.319,11.994,0.505,0,0.825,8.31,,32,0.576,14.396,0.016,0,14.404,0.042,0,12.619,,32,9.322,,32,13.88,0.013,0,13.843,0.034,0,12.819,0.505,0,8.886,,32,13.605,0.013,1,13.552,0.034,1,12.488,0.478,1,8.536,,32,13.447,0.014,1,13.391,0.036,1,12.324,0.51,1,8.245,,32,13.36,0.015,1,13.296,0.039,1,11.442,,32,7.98,,32,13.309,0.017,1,13.234,0.044,1,11.295,,32,7.744,,32,13.272,0.018,1,13.192,0.049,17,11.172,,32,7.528,,32,13.243,0.02,1,13.172,0.056,17,11.051,,32,7.328,,32,13.905,0.053,0.011,0.818,22,1.77,55340.64136,55522.75426,55427.80217,13.767,0.142,0.03,0.857,21,3.03,55340.64136,55522.75426,55423.52524,12.258,1.279,0.369,0.774,8,0.13,55340.64136,55341.76588,55341.20362,,,,,2,0.68,55340.64136,55341.76588,55341.20362,9,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,50289239,0.329,27.2,1,15.829,0.106,14.991,0.139,14.526,0.102,1.28402E+13,119,345.708,-31.6132,0.1017,0.2789,PG+ELG,5278488
56,59,0.332405,-123.900543,132.519,2.29438,5,J085004.51+021739.5,132.5188033,2.2943285,0.1208,0.1348,0.0121,225.264293,27.2778296,134.3156648,-14.8458518,3594.145,125.261,1.33E+18,1331p030_ac51-010576,1331p030_ac51,10576,15.597,0.046,23.4,1.26,15.424,0.108,10.1,0.9012,12.678,0.519,2.1,0.9404,9.039,,0,0.9818,1.035,2,1,0,0,0,0,0,132.518812,2.2943611,0.1477,0.1632,-0.0183,224,386,796,425,2.478,1.048,0.9403,0.9819,1.465,1N002,0,,0,nnnn,AACU,7,0,24,24,7,24,1,14,0,14,25.413,25.98,14.924,14.957,0,,0,,0,,0,,1.33E+18,0,91.421,3.9073,14.301,3.025,0.163,42.704,4.2385,37.009,3.898,0.148,134.49,64.313,2323.427,29.94,3.786,0.89996,18.754,733.724,10.885,1.663,15.133,0.043,1,0.261,14.938,0.158,1,0.319,11.783,,32,0.825,8.612,,32,0.576,16.004,0.055,1,15.901,0.204,1,13.055,,32,9.622,,32,15.394,0.043,1,15.257,0.158,1,12.608,,32,9.188,,32,14.901,0.036,1,14.786,0.133,1,12.266,,32,8.842,,32,14.479,0.03,1,14.421,0.118,1,12.022,,32,8.545,,32,14.178,0.028,1,14.18,0.116,1,11.812,,32,8.284,,32,13.99,0.028,1,14.067,0.128,1,11.588,,32,8.046,,32,13.864,0.029,1,14.048,0.148,1,11.337,,32,7.83,,32,13.747,0.03,1,14.059,0.171,1,11.837,0.542,1,7.532,,32,15.598,0.189,0.039,0.809,23,1.99,55315.79405,55508.04659,55395.97929,15.436,0.622,0.127,0.707,23,4.41,55315.79405,55508.04659,55395.97929,13.094,2.189,0.585,0.59,10,0.52,55315.79405,55316.9187,55316.28555,12.703,,,0.689,6,0.02,55315.79405,55316.9187,55316.28555,21,10,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.60155E+13,20,132.519,2.29438,0.108,0.457,PG+ELG,417645
41,44,1.249671,64.672443,218.135,1.68924,5,J143232.41+014121.7,218.1350639,1.6893885,0.1079,0.1178,0.0191,350.8110652,54.8729345,215.1987336,15.8176071,1212.856,2506.097,2.18E+18,2178p015_ac51-047535,2178p015_ac51,47535,15.646,0.042,25.7,0.8913,15.52,0.112,9.7,1.022,12.02,,2,0.8787,9.08,,0.5,0.9743,0.9384,1,0,0,0,0,0,0,218.1350667,1.6893898,0.1321,0.1387,0.0208,97,222,53,242,0.8912,1.021,0.8787,0.9743,0.9383,2N000,0,,0,0nnn,ABUU,3,1211,41,41,9,33,0,24,0,24,41.809,33.934,24.466,25.324,0,,0,,0,,0,,2.18E+18,0,87.391,3.3969,17.59,3.17,0.108,39.101,4.0324,58.041,4.503,0.554,122.8,61.864,2633.219,32.027,5.532,7.7711,14.603,833.578,11.377,1.931,15.461,0.102,1,0.261,15.307,0.21,1,0.319,11.804,,32,0.825,8.86,,32,0.576,16.198,0.113,1,16.119,0.237,1,13.06,,32,9.792,,32,15.722,0.102,1,15.626,0.21,1,12.629,,32,9.436,,32,15.444,0.102,1,15.41,0.223,1,12.316,,32,10.229,,32,15.212,0.102,1,15.283,0.245,1,12.083,,32,9.885,,32,14.931,0.095,1,15.089,0.248,1,11.917,,32,12.029,,32,14.489,0.075,1,14.689,0.203,1,11.775,,32,8.43,,32,13.9,0.051,1,14.135,0.142,1,11.64,,32,8.225,,32,13.385,0.037,1,13.64,0.104,1,11.522,,32,8.035,,32,15.65,0.213,0.033,0.816,40,3.47,55221.14937,55588.45758,55429.92221,15.504,0.612,0.107,0.744,30,0.74,55221.14937,55586.07686,55391.57156,13.029,2.136,0.436,0.597,16,0.17,55221.14937,55401.59558,55318.8332,10.909,11.31,2.309,0.696,13,0.02,55221.14937,55401.59558,55318.8332,-10,-5,28,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.49222E+13,82,218.135,1.68924,0.109,0.192,PG+ELG,320384
59,62,0.253952,97.903572,212.481,-1.61746,5,J140955.35-013702.8,212.4806499,-1.6174697,0.0754,0.0795,-0.0024,339.381787,55.5991235,210.8532575,10.8144971,176.407,1777.951,2.12E+18,2117m016_ac51-024597,2117m016_ac51,24597,15.036,0.032,33.8,1.095,14.783,0.059,18.5,1.027,11.871,0.302,3.6,0.8468,8.596,,2,0.8651,0.9823,1,0,0,0,0,0,0,212.4806554,-1.6174605,0.1074,0.107,-0.0231,143,156,230,163,1.093,1.024,0.8469,0.8649,0.9812,1N000,0,,0,11nn,AABU,7,2333,46,46,23,34,0,20,0,32,47.531,34.805,19.944,35.056,0,,0,,0,,0,,2.12E+18,0,153.35,4.543,19.48,3.114,0.248,77.02,4.1737,50.385,3.987,0.488,282.96,78.749,2948.935,33.785,5.551,28.636,14.552,964.655,12.229,3.975,14.982,0.046,0,0.261,14.697,0.085,0,0.319,12.045,0.358,0,0.825,8.018,,32,0.576,15.629,0.047,0,15.48,0.093,0,13.359,0.398,0,9.091,,32,15.243,0.046,0,15.016,0.085,0,12.87,0.358,0,8.594,,32,15.123,0.054,0,14.853,0.095,0,12.725,0.407,0,8.238,,32,15.105,0.065,0,14.832,0.115,0,12.739,0.51,0,7.965,,32,15.137,0.08,0,14.904,0.147,0,11.932,,32,7.724,,32,15.208,0.101,0,15.055,0.2,0,11.831,,32,7.503,,32,15.305,0.128,1,15.301,0.292,1,11.75,,32,7.33,,32,15.413,0.163,1,15.674,0.474,1,11.617,,32,7.191,,32,15.034,0.141,0.021,0.737,45,11.88,55217.70946,55582.11003,55405.77146,14.793,0.323,0.055,0.821,33,1.93,55217.70946,55582.11003,55414.70083,11.887,1.165,0.261,0.751,15,0.07,55217.70946,55397.36122,55297.62674,9.355,2.286,0.404,0.589,19,0.01,55217.70946,55397.36122,55334.58273,25,8,-23,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,379353864,1.006,131.6,1,16.761,0.163,15.861,0.168,15.434,0.214,1.11589E+13,85,212.481,-1.61746,0.115,0.411,PG+ELG,460463
21,23,0.208239,-6.252659,132.368,0.1636,5,J084928.24+000949.1,132.3677037,0.1636575,0.0805,0.0883,0.0163,227.2455169,26.0824425,134.7832371,-16.9340015,3990.742,2476.485,1.33E+18,1331p000_ac51-039397,1331p000_ac51,39397,14.917,0.033,32.7,1.704,14.939,0.076,14.2,1.024,12.255,0.403,2.7,1.017,8.542,,-0.6,0.8744,1.224,2,1,0,0,0,0,0,132.3677064,0.1636543,0.0867,0.0932,0.0099,220,221,12,246,2.566,1.109,1.018,0.875,1.541,1N001,0,,0,nnnn,AACU,7,0,22,22,16,22,1,11,0,11,21.844,22.482,11.301,11.239,0,,0,,0,,0,,1.33E+18,0,171.13,5.2259,13.861,2.933,0.062,66.727,4.6891,35.916,3.864,0.124,198.53,73.772,2217.666,28.045,0.183,-17.595,30.34,692.943,12.241,0.407,14.443,0.022,1,0.261,14.442,0.072,1,0.319,11.543,,32,0.825,8.536,,32,0.576,15.304,0.028,1,15.404,0.093,1,12.883,,32,9.526,,32,14.704,0.022,1,14.761,0.072,1,12.368,,32,9.112,,32,14.311,0.021,1,14.356,0.064,1,12.081,,32,8.787,,32,14.029,0.02,1,14.08,0.062,1,11.997,,32,8.516,,32,13.843,0.021,1,13.9,0.063,1,12.021,,32,8.279,,32,13.736,0.022,1,13.799,0.068,1,12.017,,32,9.687,,32,13.669,0.024,1,13.759,0.076,1,11.942,,32,7.765,,32,13.62,0.025,1,13.758,0.087,1,11.942,,32,7.542,,32,14.917,0.153,0.033,0.857,21,8.94,55316.32301,55508.44375,55412.38341,14.949,0.184,0.039,0.646,21,0.37,55316.32301,55508.44375,55412.38341,12.257,1.449,0.437,0.653,6,0.91,55316.32301,55317.31523,55316.80409,,,,0.582,5,0.01,55316.32301,55317.31523,55316.80409,36,-23,-8,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.60122E+13,3,132.368,0.1636,0.128,0.603,PG+ELG,209222
55,58,1.849139,-173.856546,174.23,1.89732,5,J113655.22+015348.5,174.230115,1.8968093,0.0998,0.1078,0.0218,264.5028093,59.0913956,173.9522008,-0.5500335,1315.625,3049.142,1.74E+18,1739p015_ac51-043675,1739p015_ac51,43675,15.365,0.04,27.2,1.263,15.052,0.082,13.3,0.8569,12.237,0.412,2.6,0.8244,8.625,,0.8,0.8687,0.9812,1,0,0,0,0,0,0,174.2301144,1.8968074,0.1107,0.1191,0.0208,199,320,331,353,1.26,0.8577,0.8244,0.8687,0.9806,2N000,0,,0,11nn,AACU,7,0,24,25,11,25,0,13,1,13,25.26,25.272,13.28,14.105,0,,0,,0,,0,,1.74E+18,0,113.28,4.1716,17.261,3.079,0.114,60.156,4.5276,43.619,3.987,0.167,201.97,76.661,3057.029,32.35,1.356,16.129,20.044,1049.732,11.529,2.484,15.247,0.058,1,0.261,14.966,0.147,1,0.319,12.267,0.538,1,0.825,8.315,,32,0.576,15.943,0.063,1,15.757,0.165,1,12.804,,32,9.3,,32,15.508,0.058,1,15.285,0.147,1,13.092,0.538,1,8.891,,32,15.312,0.063,1,15.108,0.162,1,12.084,,32,8.558,,32,15.191,0.07,1,15.101,0.2,1,11.972,,32,8.239,,32,15.107,0.078,1,15.234,0.278,1,11.982,,32,7.966,,32,15.054,0.087,1,15.514,0.442,1,11.993,,32,7.84,,32,15.003,0.097,1,14.955,,32,11.853,,32,8.724,,32,14.913,0.103,1,14.965,,32,11.643,,32,7.607,,32,15.334,0.216,0.043,0.821,24,20.04,55356.14904,55546.53352,55447.56806,15.117,0.396,0.079,0.624,24,4.35,55356.14904,55546.53352,55447.56806,12.234,1.275,0.354,0.795,8,0.15,55356.14904,55357.14139,55356.72407,12.726,,,0.514,7,1.04,55356.14904,55357.14139,55356.72407,-24,39,-37,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.54033E+13,56,174.23,1.89732,0.138,0.204,PG+ELG,402278
3,4,1.204301,102.516646,215.975,0.67592,5,J142354.02+004033.0,215.9751166,0.6758475,0.1121,0.121,-0.0048,346.7675913,55.4727408,213.4321126,14.1507307,2907.279,3817.451,2.16E+18,2163p000_ac51-059810,2163p000_ac51,59810,15.693,0.043,25.5,1.156,15.46,0.105,10.3,0.8671,11.989,,1.9,1.057,8.995,,0.1,0.9783,1.014,1,0,0,0,0,0,0,215.9751146,0.6758408,0.1247,0.1362,0.0131,-67,239,-210,265,1.155,0.8668,1.057,0.9783,1.013,1N000,0,,0,0nnn,AAUU,3,1111,33,33,5,32,0,22,0,22,32.576,31.952,22.629,22.137,0,,0,,0,,0,,2.16E+18,0,83.714,3.285,16.239,2.968,0.134,41.311,4.0141,46.726,4.257,0.395,122.26,65.697,2745.741,32.019,6.158,2.2898,18.844,877.353,12.098,4.249,15.344,0.042,1,0.261,15.37,0.132,1,0.319,11.905,,32,0.825,8.454,,32,0.576,16.095,0.048,1,16.151,0.147,1,13.159,,32,9.573,,32,15.605,0.042,1,15.689,0.132,1,12.73,,32,9.03,,32,15.353,0.043,1,15.513,0.144,1,12.502,,32,8.695,,32,15.13,0.043,1,15.437,0.164,1,12.435,,32,8.396,,32,14.897,0.042,17,15.374,0.185,1,12.486,,32,8.128,,32,14.703,0.041,17,15.277,0.197,1,12.54,,32,7.917,,32,14.546,0.042,17,15.118,0.196,1,12.38,,32,7.742,,32,14.382,0.041,17,14.864,0.176,1,12.236,,32,7.568,,32,15.697,0.223,0.039,0.784,32,3.55,55219.69389,55584.4901,55406.48853,15.477,0.529,0.094,0.775,30,0.36,55219.69389,55584.4901,55406.82749,12.774,2.248,0.479,0.644,15,0.04,55219.69389,55399.87537,55317.74325,10.575,7.97,1.699,0.756,13,0,55219.69389,55399.87537,55317.74325,16,-63,-8,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.49212E+13,68,215.975,0.67592,0.142,0.227,PG+ELG,15554
