,ra,dec,z1,z2,spec_type,cataid
0,140.75621,0.84809,0.23800000000000002,0.25,ELG+ELG,218757
1,131.75003999999998,2.0443700000000002,0.207,0.231,ELG+ELG,345974
2,137.94367,2.30107,0.316,0.381,ELG+ELG,347499
3,140.09571,2.3343,0.281,0.086,ELG+ELG,348065
4,129.51933,1.39028,0.24,0.419,ELG+ELG,375506
5,134.88888,1.50709,0.727,0.17600000000000002,ELG+ELG,376767
6,139.68454,1.98081,0.18899999999999997,0.6709999999999999,ELG+ELG,383053
7,129.951,-0.03694,0.14400000000000002,0.13,ELG+ELG,573744
8,137.52142,-0.12759,0.105,0.3,ELG+ELG,574857
9,133.35228999999998,0.32283,0.289,0.292,ELG+ELG,599995
10,140.01478999999998,-1.21574,0.096,0.22,ELG+ELG,641911
11,138.918,-1.02683,0.34299999999999997,0.44,ELG+ELG,3633744
12,136.82975,-1.99357,0.325,0.166,ELG+ELG,3866435
13,136.64988,-1.59199,0.32799999999999996,0.331,ELG+ELG,3887215
14,134.01279,-0.98051,0.217,0.242,ELG+ELG,3904099
15,183.92221,-1.20294,0.085,0.32799999999999996,ELG+ELG,32248
16,182.30704,-0.78791,0.278,0.184,ELG+ELG,40642
17,175.69525,-0.31443000000000004,0.121,0.147,ELG+ELG,53931
18,176.85742,-0.30877,0.326,0.317,ELG+ELG,54130
19,178.36975,-0.30537,0.26,0.077,ELG+ELG,54523
20,180.74653999999998,-0.38792,0.35700000000000004,0.409,ELG+ELG,55175
21,178.90833,-2.56675,0.28,0.179,ELG+ELG,124295
22,177.73192,-2.10683,0.163,0.249,ELG+ELG,130523
23,176.30279,-1.7424400000000002,0.027999999999999997,0.256,ELG+ELG,136907
24,179.51112,-1.69882,0.09699999999999999,0.268,ELG+ELG,137783
25,181.94588000000002,-1.82568,0.304,0.27399999999999997,ELG+ELG,138368
26,184.17453999999998,-1.8168099999999998,0.45,0.07400000000000001,ELG+ELG,138811
27,179.40017,-2.8757099999999998,0.267,0.27,ELG+ELG,164995
28,176.08696,-1.86907,0.316,0.385,ELG+ELG,177278
29,181.78058000000001,-1.5484,0.313,0.18100000000000002,ELG+ELG,185812
30,185.5935,-1.49532,0.301,0.297,ELG+ELG,186737
31,181.08337,1.93953,0.166,0.243,ELG+ELG,230803
32,185.44796000000002,1.9462099999999998,0.226,0.252,ELG+ELG,231768
33,185.53046,1.88483,0.11199999999999999,0.34600000000000003,ELG+ELG,231785
34,178.47396,1.3207,0.078,0.23,ELG+ELG,272227
35,180.98801,1.78262,0.262,0.259,ELG+ELG,289050
36,174.04408,1.44452,0.45399999999999996,0.077,ELG+ELG,396570
37,177.7595,-0.47629,0.124,0.259,ELG+ELG,559653
38,178.85871,-0.57989,0.225,0.054000000000000006,ELG+ELG,560010
39,176.83237,-0.16391,0.13699999999999998,0.109,ELG+ELG,583813
40,180.54204,0.39134,0.256,0.701,ELG+ELG,610529
41,177.01971,-1.87064,0.32299999999999995,0.11599999999999999,ELG+ELG,787196
42,177.90113,-1.11874,0.295,0.136,ELG+ELG,947988
43,214.46454,-0.30878,0.251,0.124,ELG+ELG,63082
44,221.17254,-0.29001,0.239,0.28600000000000003,ELG+ELG,65016
45,216.62878999999998,0.62516,0.125,0.1,ELG+ELG,92523
46,216.51021,1.6082,0.084,0.294,ELG+ELG,239143
47,218.71629,1.6051799999999998,0.19899999999999998,0.055999999999999994,ELG+ELG,239721
48,223.16475,1.38699,0.213,0.275,ELG+ELG,240564
49,213.33275,2.0285,0.17600000000000002,0.179,ELG+ELG,249903
50,219.06642000000002,1.9784,0.063,0.28300000000000003,ELG+ELG,251526
51,215.80875,1.07883,0.39299999999999996,0.282,ELG+ELG,278240
52,216.43496000000002,1.3886100000000001,0.45299999999999996,0.19699999999999998,ELG+ELG,297627
53,216.57825,1.38436,0.316,0.004,ELG+ELG,297645
54,219.18917000000002,1.74384,0.17600000000000002,0.546,ELG+ELG,320705
55,222.41704,2.1737900000000003,0.121,0.124,ELG+ELG,343868
56,211.94128999999998,-1.80552,0.113,0.516,ELG+ELG,460386
57,213.94213,-1.18728,0.05,0.149,ELG+ELG,463638
58,221.9895,-1.3670799999999999,0.261,0.147,ELG+ELG,493692
59,218.33704,-1.0504,0.179,0.03,ELG+ELG,512280
60,212.59971000000002,-0.9271799999999999,0.35700000000000004,0.204,ELG+ELG,543716
61,223.22657999999998,-0.58658,0.313,0.28,ELG+ELG,570323
62,216.50153999999998,0.23066,0.15,0.084,ELG+ELG,618687
